GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rate-limiting,com.example.ratelimiting.config,RateLimitingProperties.EndpointOverride,8,23,0,0,4,9,2,7,2,7
rate-limiting,com.example.ratelimiting.config,RateLimitingProperties.ApiKey,7,6,0,0,3,2,2,1,2,1
rate-limiting,com.example.ratelimiting.config,RateLimitingProperties.FallbackMode,0,24,0,0,0,1,0,1,0,1
rate-limiting,com.example.ratelimiting.config,SupabaseJwtProperties,17,0,0,0,7,0,5,0,5,0
rate-limiting,com.example.ratelimiting.config,RateLimitingProperties.Bypass,14,9,0,0,6,3,4,1,4,1
rate-limiting,com.example.ratelimiting.config,RateLimitingProperties,22,47,0,0,10,15,6,7,6,7
rate-limiting,com.example.ratelimiting.config,RateLimitingProperties.Dimension,0,54,0,0,0,1,0,1,0,1
rate-limiting,com.example.ratelimiting.config,RateLimitingConfig,3,0,0,0,1,0,1,0,1,0
rate-limiting,com.example.ratelimiting.config,RateLimitingProperties.DefaultLimits,0,33,0,0,0,13,0,7,0,7
rate-limiting,com.example.ratelimiting.security,JwksService,55,0,0,0,18,0,4,0,4,0
rate-limiting,com.example.ratelimiting.security,SecurityConfig,281,0,10,0,54,0,25,0,20,0
rate-limiting,com.example.ratelimiting.security,RateLimitingFilterConfig,13,0,0,0,2,0,2,0,2,0
rate-limiting,com.example.ratelimiting.security,AudienceValidator,33,0,4,0,8,0,4,0,2,0
rate-limiting,com.example.ratelimiting.security,SupabaseJwtDecoderConfig,34,0,0,0,6,0,2,0,2,0
rate-limiting,com.example.ratelimiting.security,RateLimitingFilter,311,160,14,6,55,39,11,6,2,5
rate-limiting,com.example.ratelimiting.security,JwtIssuer,63,0,0,0,19,0,2,0,2,0
rate-limiting,com.example.ratelimiting.security,JwtDecoderConfig,22,0,0,0,7,0,2,0,2,0
rate-limiting,com.example.ratelimiting.security,JwksController,11,0,0,0,4,0,2,0,2,0
rate-limiting,com.example.ratelimiting.persistence,UserEntity,52,0,0,0,22,0,15,0,15,0
rate-limiting,com.example.ratelimiting.persistence,ApiKeyEntity,52,0,0,0,22,0,15,0,15,0
rate-limiting,com.example.ratelimiting.persistence,DemoDataInitializer,52,0,0,0,14,0,5,0,5,0
rate-limiting,com.example.ratelimiting,RateLimitingApplication,8,0,0,0,3,0,2,0,2,0
rate-limiting,com.example.ratelimiting.ratelimit,RateLimitPolicyResolver.ResolvedPolicy,0,9,0,0,0,1,0,1,0,1
rate-limiting,com.example.ratelimiting.ratelimit,TokenBucketRequest,0,15,0,0,0,1,0,1,0,1
rate-limiting,com.example.ratelimiting.ratelimit,TokenBucketResult,18,0,0,0,1,0,1,0,1,0
rate-limiting,com.example.ratelimiting.ratelimit,RateLimitKey,0,21,0,0,0,2,0,2,0,2
rate-limiting,com.example.ratelimiting.ratelimit,EndpointHasher,7,54,0,2,2,7,0,2,0,1
rate-limiting,com.example.ratelimiting.ratelimit,RateLimitPolicyResolver,38,274,18,32,6,64,16,21,0,12
rate-limiting,com.example.ratelimiting.ratelimit,TokenBucketService,202,0,14,0,43,0,13,0,6,0
rate-limiting,com.example.ratelimiting.ratelimit,RateLimitBackendUnavailableException,0,5,0,0,0,2,0,1,0,1
rate-limiting,com.example.ratelimiting.ratelimit,RateLimitKeyFactory,61,29,10,1,9,6,8,2,1,2
rate-limiting,com.example.ratelimiting.ratelimit,ClientIdentityExtractor,56,24,15,3,13,7,11,2,2,2
rate-limiting,com.example.ratelimiting.ratelimit,RateLimitPolicy,0,24,0,0,0,2,0,2,0,2
rate-limiting,com.example.ratelimiting.web,PingController,10,0,0,0,2,0,2,0,2,0
rate-limiting,com.example.ratelimiting.web,ProductController.CreateProductRequest,9,0,0,0,1,0,1,0,1,0
rate-limiting,com.example.ratelimiting.web,RateLimitErrorResponse.RateLimitInfo,12,0,0,0,1,0,1,0,1,0
rate-limiting,com.example.ratelimiting.web,RateLimitErrorResponse,21,0,0,0,1,0,1,0,1,0
rate-limiting,com.example.ratelimiting.web,AuthController,60,0,2,0,15,0,4,0,3,0
rate-limiting,com.example.ratelimiting.web,UnauthorizedException,4,0,0,0,2,0,1,0,1,0
rate-limiting,com.example.ratelimiting.web,ProductController,47,0,0,0,9,0,4,0,4,0
rate-limiting,com.example.ratelimiting.web,AuthController.LoginRequest,9,0,0,0,1,0,1,0,1,0
rate-limiting,com.example.ratelimiting.web,ProductController.Product,12,0,0,0,1,0,1,0,1,0
rate-limiting,com.example.ratelimiting.observability,CorrelationIdFilter,38,0,2,0,10,0,5,0,4,0
rate-limiting,com.example.ratelimiting.observability,CorrelationIdConfig,17,0,0,0,5,0,2,0,2,0
